1  12910.4	2.570039e-01	-2.006489e+01	2.249826e+00	5.985147e+01	-1.902000e+01	6.781911e-01	6.470409e-02	
2  12545.5	2.754979e-01	-2.012003e+01	2.273479e+00	5.990003e+01	-1.902000e+01	6.591428e-01	6.525859e-02	
2  12284.3	2.927327e-01	-2.014067e+01	2.289576e+00	5.989857e+01	-1.902000e+01	6.414561e-01	6.571042e-02	
3  11964.7	3.117119e-01	-2.012556e+01	2.278666e+00	5.993030e+01	-1.902000e+01	6.228502e-01	6.533719e-02	
1  11132.4	3.739305e-01	-2.035874e+01	2.265465e+00	5.995314e+01	-1.902000e+01	5.610487e-01	6.492024e-02	
2  11066	3.739305e-01	-2.035874e+01	2.265465e+00	5.995314e+01	-1.902193e+01	5.610487e-01	6.492024e-02	
1  10986.5	3.858637e-01	-2.048109e+01	2.261036e+00	5.990779e+01	-1.902193e+01	5.491406e-01	6.489500e-02	
4  10784.9	4.013361e-01	-2.051803e+01	2.262281e+00	5.993816e+01	-1.902193e+01	5.336993e-01	6.486402e-02	
2  10150.7	4.836936e-01	-2.039602e+01	2.227703e+00	5.990202e+01	-1.902193e+01	4.522271e-01	6.397857e-02	
1  10040	4.979688e-01	-2.042622e+01	2.200826e+00	5.994297e+01	-1.902193e+01	4.387873e-01	6.314331e-02	
1  9611.97	4.979688e-01	-2.042622e+01	2.200826e+00	5.994297e+01	-1.903561e+01	4.387873e-01	6.314331e-02	
1  9307.58	5.909229e-01	-2.024906e+01	2.200507e+00	6.003263e+01	-1.903561e+01	3.460306e-01	6.294626e-02	
1  9102.61	5.916464e-01	-2.032935e+01	2.188341e+00	6.027880e+01	-1.903561e+01	3.461549e-01	6.209918e-02	
1  8926.68	5.577766e-01	-2.044639e+01	2.202682e+00	6.045804e+01	-1.903561e+01	3.800000e-01	6.212446e-02	
3  8881.06	5.491582e-01	-2.047894e+01	2.240792e+00	6.049253e+01	-1.903561e+01	3.876478e-01	6.309521e-02	
3  8697.81	5.279428e-01	-2.018324e+01	2.238517e+00	6.073483e+01	-1.903561e+01	4.094273e-01	6.253190e-02	
4  8081	5.279428e-01	-2.018324e+01	2.238517e+00	6.073483e+01	-1.905758e+01	4.094273e-01	6.253190e-02	
2  7940.56	5.755956e-01	-2.019088e+01	2.212006e+00	6.090747e+01	-1.905758e+01	3.628432e-01	6.146383e-02	
1  7858.69	5.963487e-01	-2.009207e+01	2.218619e+00	6.106950e+01	-1.905758e+01	3.422384e-01	6.131596e-02	
3  7779.5	5.494724e-01	-1.999702e+01	2.220824e+00	6.107658e+01	-1.905758e+01	3.890698e-01	6.136087e-02	
4  7451.46	5.494724e-01	-1.999702e+01	2.220824e+00	6.107658e+01	-1.907020e+01	3.890698e-01	6.136087e-02	
2  7335.95	5.566864e-01	-1.994720e+01	2.212667e+00	6.123788e+01	-1.907020e+01	3.823962e-01	6.082105e-02	
1  7320.84	5.838819e-01	-1.987401e+01	2.230947e+00	6.131383e+01	-1.907020e+01	3.548650e-01	6.115697e-02	
1  7212.51	5.696354e-01	-2.005496e+01	2.245886e+00	6.140479e+01	-1.907020e+01	3.688964e-01	6.137242e-02	
3  7186.7	5.838311e-01	-2.018323e+01	2.264911e+00	6.148374e+01	-1.907020e+01	3.543549e-01	6.171843e-02	
4  7043.48	5.304487e-01	-2.033786e+01	2.244187e+00	6.158173e+01	-1.907020e+01	4.084799e-01	6.097601e-02	
4  6650.46	5.304487e-01	-2.033786e+01	2.244187e+00	6.158173e+01	-1.908621e+01	4.084799e-01	6.097601e-02	
1  6485.46	5.373682e-01	-2.026396e+01	2.224134e+00	6.182687e+01	-1.908621e+01	4.025676e-01	5.996965e-02	
8  6146.42	5.373682e-01	-2.026396e+01	2.224134e+00	6.182687e+01	-1.910090e+01	4.025676e-01	5.996965e-02	
1  6021.27	4.751532e-01	-2.022036e+01	2.239167e+00	6.203595e+01	-1.910090e+01	4.647955e-01	5.995738e-02	
1  6008.76	4.952242e-01	-2.014173e+01	2.250330e+00	6.200326e+01	-1.910090e+01	4.443709e-01	6.031089e-02	
1  5944.8	4.952242e-01	-2.014173e+01	2.250330e+00	6.200326e+01	-1.910368e+01	4.443709e-01	6.031089e-02	
4  5909.32	5.085565e-01	-2.001574e+01	2.230023e+00	6.205140e+01	-1.910368e+01	4.316595e-01	5.969010e-02	
4  5753.7	5.085565e-01	-2.001574e+01	2.230023e+00	6.205140e+01	-1.911061e+01	4.316595e-01	5.969010e-02	
1  5716.67	4.493900e-01	-1.999568e+01	2.240221e+00	6.223393e+01	-1.911061e+01	4.909123e-01	5.960437e-02	
1  5446.28	4.493900e-01	-1.999568e+01	2.240221e+00	6.223393e+01	-1.912247e+01	4.909123e-01	5.960437e-02	
4  5269.73	4.826926e-01	-2.008522e+01	2.235189e+00	6.239629e+01	-1.912247e+01	4.580487e-01	5.916586e-02	
1  5255.56	4.826926e-01	-2.008522e+01	2.235189e+00	6.239629e+01	-1.912313e+01	4.580487e-01	5.916586e-02	
1  5240.47	5.404156e-01	-2.027905e+01	2.229043e+00	6.252445e+01	-1.912313e+01	4.007252e-01	5.876674e-02	
2  5069.8	4.862598e-01	-2.043748e+01	2.233017e+00	6.267857e+01	-1.912313e+01	4.550685e-01	5.857975e-02	
1  5046.9	4.830559e-01	-2.044418e+01	2.248451e+00	6.270864e+01	-1.912313e+01	4.579360e-01	5.891616e-02	
1  4857.96	4.830559e-01	-2.044418e+01	2.248451e+00	6.270864e+01	-1.913234e+01	4.579360e-01	5.891616e-02	
1  4818.33	4.496485e-01	-2.046652e+01	2.240921e+00	6.283104e+01	-1.913234e+01	4.917634e-01	5.849649e-02	
1  4788.69	4.478959e-01	-2.049282e+01	2.248051e+00	6.287924e+01	-1.913234e+01	4.934253e-01	5.858732e-02	
1  4705.2	4.414079e-01	-2.051283e+01	2.244477e+00	6.302902e+01	-1.913234e+01	5.002814e-01	5.821971e-02	
1  4638.47	5.149312e-01	-2.048344e+01	2.256150e+00	6.314382e+01	-1.913234e+01	4.266768e-01	5.830134e-02	
1  4538.93	5.149312e-01	-2.048344e+01	2.256150e+00	6.314382e+01	-1.913769e+01	4.266768e-01	5.830134e-02	
1  4470.94	5.080384e-01	-2.069240e+01	2.267617e+00	6.323754e+01	-1.913769e+01	4.334555e-01	5.841570e-02	
3  4413.44	4.723805e-01	-2.039358e+01	2.262233e+00	6.327015e+01	-1.913769e+01	4.693081e-01	5.822112e-02	
5  4275.59	4.723805e-01	-2.039358e+01	2.262233e+00	6.327015e+01	-1.914498e+01	4.693081e-01	5.822112e-02	
2  4158.13	4.723805e-01	-2.039358e+01	2.262233e+00	6.327015e+01	-1.915133e+01	4.693081e-01	5.822112e-02	
3  4121.02	4.881744e-01	-2.060769e+01	2.264309e+00	6.336364e+01	-1.915133e+01	4.536342e-01	5.810142e-02	
10  4116.26	4.881744e-01	-2.060769e+01	2.264309e+00	6.336364e+01	-1.915160e+01	4.536342e-01	5.810142e-02	
2  3723.43	4.881744e-01	-2.060769e+01	2.264309e+00	6.336364e+01	-1.917450e+01	4.536342e-01	5.810142e-02	
3  3653.78	4.810322e-01	-2.058935e+01	2.229513e+00	6.349739e+01	-1.917450e+01	4.618838e-01	5.699433e-02	
2  3622.69	4.810322e-01	-2.058935e+01	2.229513e+00	6.349739e+01	-1.917640e+01	4.618838e-01	5.699433e-02	
